"Borough","Bedroom Category","Median","Count of rents"
"Barking and Dagenham","One Bedroom","1050","250"
"Barnet","One Bedroom","1184","770"
"Bexley","One Bedroom","948","200"
"Brent","One Bedroom","1150","350"
"Bromley","One Bedroom","1050","710"
"Camden","One Bedroom","1500","510"
"City of London","One Bedroom","1733","90"
"Croydon","One Bedroom","950","650"
"Ealing","One Bedroom","1242","690"
"Enfield","One Bedroom","1050","270"
"Greenwich","One Bedroom","1219","430"
"Hackney","One Bedroom","1400","440"
"Hammersmith and Fulham","One Bedroom","1400","680"
"Haringey","One Bedroom","1250","570"
"Harrow","One Bedroom","1100","360"
"Havering","One Bedroom","950","230"
"Hillingdon","One Bedroom","950","370"
"Hounslow","One Bedroom","1100","540"
"Islington","One Bedroom","1450","720"
"Kensington and Chelsea","One Bedroom","1842","940"
"Kingston upon Thames","One Bedroom","1100","230"
"Lambeth","One Bedroom","1365","630"
"Lewisham","One Bedroom","1100","580"
"Merton","One Bedroom","1250","300"
"Newham","One Bedroom","1320","1030"
"Redbridge","One Bedroom","1050","410"
"Richmond upon Thames","One Bedroom","1225","690"
"Southwark","One Bedroom","1350","960"
"Sutton","One Bedroom","950","290"
"Tower Hamlets","One Bedroom","1400","590"
"Waltham Forest","One Bedroom","1100","430"
"Wandsworth","One Bedroom","1450","690"
"Westminster","One Bedroom","1931","480"
