"Borough","Bedroom Category","Median","Count of rents"
"Barking and Dagenham","Two Bedrooms","1300","470"
"Barnet","Two Bedrooms","1400","1450"
"Bexley","Two Bedrooms","1200","390"
"Brent","Two Bedrooms","1400","620"
"Bromley","Two Bedrooms","1310","1090"
"Camden","Two Bedrooms","2000","500"
"City of London","Two Bedrooms","2299","50"
"Croydon","Two Bedrooms","1250","950"
"Ealing","Two Bedrooms","1495","980"
"Enfield","Two Bedrooms","1325","460"
"Greenwich","Two Bedrooms","1400","800"
"Hackney","Two Bedrooms","1650","530"
"Hammersmith and Fulham","Two Bedrooms","1850","740"
"Haringey","Two Bedrooms","1517","690"
"Harrow","Two Bedrooms","1350","640"
"Havering","Two Bedrooms","1195","370"
"Hillingdon","Two Bedrooms","1225","470"
"Hounslow","Two Bedrooms","1350","800"
"Islington","Two Bedrooms","1885","650"
"Kensington and Chelsea","Two Bedrooms","2600","1080"
"Kingston upon Thames","Two Bedrooms","1350","350"
"Lambeth","Two Bedrooms","1658","1010"
"Lewisham","Two Bedrooms","1350","780"
"Merton","Two Bedrooms","1500","480"
"Newham","Two Bedrooms","1597","1090"
"Redbridge","Two Bedrooms","1300","650"
"Richmond upon Thames","Two Bedrooms","1625","1130"
"Southwark","Two Bedrooms","1700","1210"
"Sutton","Two Bedrooms","1225","400"
"Tower Hamlets","Two Bedrooms","1668","640"
"Waltham Forest","Two Bedrooms","1350","570"
"Wandsworth","Two Bedrooms","1850","1200"
"Westminster","Two Bedrooms","2578","530"
