"Borough","Bedroom Category","Median","Count of rents"
"Barking and Dagenham","Three Bedrooms","1450","280"
"Barnet","Three Bedrooms","1800","480"
"Bexley","Three Bedrooms","1450","290"
"Brent","Three Bedrooms","1775","400"
"Bromley","Three Bedrooms","1650","420"
"Camden","Three Bedrooms","2600","200"
"City of London","Three Bedrooms","2600","10"
"Croydon","Three Bedrooms","1500","330"
"Ealing","Three Bedrooms","1800","380"
"Enfield","Three Bedrooms","1625","260"
"Greenwich","Three Bedrooms","1700","320"
"Hackney","Three Bedrooms","2280","220"
"Hammersmith and Fulham","Three Bedrooms","2492","240"
"Haringey","Three Bedrooms","1850","240"
"Harrow","Three Bedrooms","1650","520"
"Havering","Three Bedrooms","1400","320"
"Hillingdon","Three Bedrooms","1395","440"
"Hounslow","Three Bedrooms","1600","410"
"Islington","Three Bedrooms","2383","270"
"Kensington and Chelsea","Three Bedrooms","4008","320"
"Kingston upon Thames","Three Bedrooms","1800","140"
"Lambeth","Three Bedrooms","2215","340"
"Lewisham","Three Bedrooms","1650","300"
"Merton","Three Bedrooms","1962","210"
"Newham","Three Bedrooms","1750","410"
"Redbridge","Three Bedrooms","1615","330"
"Richmond upon Thames","Three Bedrooms","2200","470"
"Southwark","Three Bedrooms","2150","420"
"Sutton","Three Bedrooms","1595","130"
"Tower Hamlets","Three Bedrooms","2050","210"
"Waltham Forest","Three Bedrooms","1650","260"
"Wandsworth","Three Bedrooms","2400","430"
"Westminster","Three Bedrooms","3600","170"
